id,location,date,category,status,state,comment,,,,,,,,,,,,,,,,,,,,
4346293,Yaya Centre,1/4/2026,Store.Point Of Sale.Receipts,Awaiting User,Remote,Store is unable to have the right receipt printed for exchange/refund of transaction SMA/9502/260104/00000015 on L02,,,,,,,,,,,,,,,,,,,,
4346516,Garden City,1/4/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Duplicate receipt has been printed for transaction MES/9580/260104/00000010 on L02, Printer had run out of paper roll",,,,,,,,,,,,,,,,,,,,
4346776,Garden City,1/4/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
4346799,Mlimani City,1/4/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed receipt for transaction  PAH/9571/260104/000000410n L04, Syntax error, wrong PIN used",,,,,,,,,,,,,,,,,,,,
4346804,Bugolobi,1/4/2026,Store.Back Office.EOD,Resolved,Remote,Sales data transfer error,,,,,,,,,,,,,,,,,,,,
4347151,PPF Tower,1/5/2026,Store.Point Of Sale.Printer,Awaiting User,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4347635,Mlimani City,1/5/2026,Desktop.Password,Resolved,Remote,Password reset.,,,,,,,,,,,,,,,,,,,,
4347665,Mlimani City,1/5/2026,Desktop.Password,Resolved,Remote,Password reset.,,,,,,,,,,,,,,,,,,,,
4347754,Mlimani City,1/5/2026,Desktop.Email,Awaiting Vendor,On-site,Outlook mobile configuration.,,,,,,,,,,,,,,,,,,,,
4347774,Palm Village,1/5/2026,Desktop.Software,Resolved,Remote,Companyy sites unreachable via Edge.,,,,,,,,,,,,,,,,,,,,
4348041,PPF Tower,1/5/2026,Store.Point Of Sale.Printer,Resolved,On-site,TA3 Serv Pass? Z385.,,,,,,,,,,,,,,,,,,,,
4348081,Yaya Centre,1/5/2026,Store Operations.Loss of Trade.Power Failure,Open,On-site,Power failure due to mall generator,,,,,,,,,,,,,,,,,,,,
4349462,Garden City,1/5/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
4350439,Yaya Centre,1/6/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed VAN/9502/260106/00000001 on L03, syntax error",,,,,,,,,,,,,,,,,,,,
4350457,Yaya Centre,1/6/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed SMA/9502/260106/00000001 on L02, syntax error",,,,,,,,,,,,,,,,,,,,
4351191,Kunduchi,1/6/2026,Store.Back Office.EOD,Awaiting User,Remote,Unprocessed EOD,,,,,,,,,,,,,,,,,,,,
4351848,Mlimani City,1/6/2026,Store.Point Of Sale.Receipts,Awaiting User,Remote,TIN syntax.,,,,,,,,,,,,,,,,,,,,
4351970,Mlimani City,1/6/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4352169,Golf Course,1/6/2026,Store.Back Office.EOD,Resolved,Remote,Data transfer error,,,,,,,,,,,,,,,,,,,,
4352182,Mlimani City,1/6/2026,Store.Point Of Sale.Printer,Resolved,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4352202,Palm Village,1/6/2026,Store.Point Of Sale.Receipts,Awaiting User,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4352603,Naalya,1/7/2026,Desktop.Printer,Resolved,On-site,Kyocera TASKalfa 2020 GX back office printer was not turning on when users press the power button,,,,,,,,,,,,,,,,,,,,
4352604,PPF Tower,1/7/2026,Store.Point Of Sale.Printer,Resolved,On-site,TA3 Serv Pass? Z386.,,,,,,,,,,,,,,,,,,,,
4353018,Kunduchi,1/7/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4353237,PPF Tower,1/7/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4353457,Sarit,1/7/2026,Desktop.Back office PC.Maintenance,Resolved,On-site,Warehouse turning black when users log in,,,,,,,,,,,,,,,,,,,,
4354224,Golf Course,1/7/2026,Store.Back Office.Server,Resolved,Remote,Sales update,,,,,,,,,,,,,,,,,,,,
4354373,Yaya Centre,1/7/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Printed receipt for transaction VAN/9502/260107/00000044 on L03. Had a syntax error -wrong PIN used,,,,,,,,,,,,,,,,,,,,
4354384,PPF Tower,1/7/2026,Store.Point Of Sale.Printer,Resolved,On-site,TA2 Serv Pass? Z370.,,,,,,,,,,,,,,,,,,,,
4354531,Golf Course,1/7/2026,Store.Reports.Point Of Sale,Resolved,Remote,"Assist delete the overdue laybye at Gardencity Uganda store (958) in the name of Hanifah, Amount - 29,500/=, Acc. number - 0095804000032",,,,,,,,,,,,,,,,,,,,
4354992,Mlimani City,1/8/2026,Store.Point Of Sale.Printer,Resolved,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4355276,Naalya,1/8/2026,Desktop.Software,Resolved,Remote,"RTS was failing to open on back office machines, cannot read form product error",,,,,,,,,,,,,,,,,,,,
4355654,Palm Village,1/8/2026,Store.Reports.Point Of Sale,Awaiting User,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4355796,Galleria,1/8/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Printed receipt for transaction STW/9505/260108/00000010on L04. Had a syntax error -wrong PIN used,,,,,,,,,,,,,,,,,,,,
4355831,PPF Tower,1/8/2026,Store.Point Of Sale.Printer,Resolved,On-site,TA2 Serv Pass? Z370 & TA3 Serv Pass? Z388.,,,,,,,,,,,,,,,,,,,,
4355944,Yaya Centre,1/8/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Printed receipt for transaction DOD/9502/260108/00000021on L04. Had a syntax error -wrong PIN used,,,,,,,,,,,,,,,,,,,,
4356076,PPF Tower,1/8/2026,Store.Point Of Sale.Server,Resolved,Remote,Skipped server backup (No power).,,,,,,,,,,,,,,,,,,,,
4356207,Golf Course,1/8/2026,Desktop.Back office PC.Maintenance,Resolved,On-site,Machine WW958BOPC2 was had unstable network connectivity,,,,,,,,,,,,,,,,,,,,
4356747,Golf Course,1/8/2026,Store.Back Office.EOD,Resolved,Remote,POS EOD not performed error,,,,,,,,,,,,,,,,,,,,
4356764,Bugolobi,1/8/2026,Store.Back Office.EOD,Resolved,Remote,Data transfer error,,,,,,,,,,,,,,,,,,,,
4357324,Palm Village,1/9/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4357436,Sarit,1/9/2026,Store.Point Of Sale.Software,Resolved,Remote,Incorrect Sales date at POS on L08,,,,,,,,,,,,,,,,,,,,
4358204,Sarit,1/9/2026,Store.Reports.Point Of Sale,Resolved,Remote,Cashier day end descrepancies,,,,,,,,,,,,,,,,,,,,
4358263,Sarit,1/9/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
4358366,TFA Arusha,1/9/2026,Store.Reports.Point Of Sale,Awaiting User,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4358373,Mlimani City,1/9/2026,Finance.Oracle Financials,Open,Remote,9573 not visible in iReceivable.,,,,,,,,,,,,,,,,,,,,
4358578,PPF Tower,1/9/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4358621,TFA Arusha,1/9/2026,Store.Reports.Point Of Sale,Open,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4358721,Naalya,1/9/2026,Desktop.Software,Resolved,On-site,"WWOPSMGRUGA has been assisted to convert PDF document to word, add in an extra page and reconvert to pdf",,,,,,,,,,,,,,,,,,,,
4358732,TFA Arusha,1/9/2026,Store.Reports.Point Of Sale,In Progress,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4359650,PPF Tower,1/10/2026,Store.Point Of Sale.Printer,In Progress,On-site,TA3 Serv Pass? Z389.,,,,,,,,,,,,,,,,,,,,
4359970,Naalya,1/10/2026,Network.Internet,Resolved,On-site,Internet outage accross the stores,,,,,,,,,,,,,,,,,,,,
4360121,Sarit,1/10/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed receipt for transaction CKW/9586/260110/00000012 on L03, EFD not responding error",,,,,,,,,,,,,,,,,,,,
4360244,Yaya Centre,1/10/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Duplicate receipt print for SER/9502/260110/00000058 on L04, printer had run out of paper",,,,,,,,,,,,,,,,,,,,
4360265,Kunduchi,1/10/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4360392,Mlimani City,1/10/2026,Store.Reports.Point Of Sale,Open,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4360432,TFA Arusha,1/10/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unsent zreports,,,,,,,,,,,,,,,,,,,,
4360459,Mlimani City,1/10/2026,Store.Point Of Sale.Printer,Awaiting User,On-site,TA3 Serv Pass? Z389.,,,,,,,,,,,,,,,,,,,,
4261719,Mlimani City,1/11/2026,Store.Point Of Sale.Printer,Awaiting User,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4361316,Naalya,1/11/2026,Store.Back Office.Server,Resolved,On-site,"Wrewards cad unable to pick, conversion failed when converting character string to smalldatetime data type",,,,,,,,,,,,,,,,,,,,
4361719,Mlimani City,1/11/2026,Store.Point Of Sale.Printer,Open,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4361724,Mlimani City,1/11/2026,Store.Point Of Sale.Printer,Open,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4362194,Sarit,1/12/2026,Desktop.Email,Resolved,Remote,Mail password reset,,,,,,,,,,,,,,,,,,,,
4362415,PPF Tower,1/12/2026,Store.Point Of Sale.Printer,Awaiting User,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4362782,TFA Arusha,1/12/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4362901,TFA Arusha,1/12/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4363085,Mlimani City,1/12/2026,WW Store.Export Warehouse,Awaiting User,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4363165,Yaya Centre,1/12/2026,Desktop.Printer,Resolved,Remote,Machine WW9502STMGR was unable to print,,,,,,,,,,,,,,,,,,,,
4363294,Yaya Centre,1/12/2026,Store.Point Of Sale.Server,Resolved,Remote,Assistance to register Tin number P051602573G,,,,,,,,,,,,,,,,,,,,
4363398,Village Market,1/12/2026,Store.Point Of Sale.Server,Resolved,Remote,Assistance to register Tin number P052343832X,,,,,,,,,,,,,,,,,,,,
4363405,Sarit,1/12/2026,Store.Point Of Sale.Server,Resolved,Remote,Assistance to register Tin number P051965267Z,,,,,,,,,,,,,,,,,,,,
4363810,Yaya Centre,1/12/2026,Store.Point Of Sale.Server,Resolved,Remote,Assistance to register Tin number P051539103D,,,,,,,,,,,,,,,,,,,,
4364940,Sarit,1/13/2026,Store.PeopleSoft,Resolved,Remote,Iprocuremnt Password reset,,,,,,,,,,,,,,,,,,,,
4365069,Mlimani City,1/13/2026,Desktop.Password,Resolved,Remote,Password reset.,,,,,,,,,,,,,,,,,,,,
4365287,Two Rivers,1/13/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Receipt failed to print due to insufficient paper roll,,,,,,,,,,,,,,,,,,,,
4366488,Mlimani City,1/13/2026,Store.Reports.Point Of Sale,Awaiting User,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4366665,The Hub,1/13/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Receipt failed to print due to insufficient paper roll,,,,,,,,,,,,,,,,,,,,
4366687,Golf Course,1/13/2026,Store.Back Office.EOD,Resolved,Remote,POS EOD not performed error,,,,,,,,,,,,,,,,,,,,
4366697,Naalya,1/13/2026,Store.Back Office.EOD,Resolved,Remote,Data transfer error,,,,,,,,,,,,,,,,,,,,
4366754,TFA Arusha,1/13/2026,Store.Point Of Sale.Printer,Awaiting User,Remote,Duplicate printing.,,,,,,,,,,,,,,,,,,,,
4366769,TFA Arusha,1/13/2026,Store.Point Of Sale.Printer,Awaiting User,On-site,Unprinted reports.,,,,,,,,,,,,,,,,,,,,
4367394,TFA Arusha,1/14/2026,Store.Reports.Point Of Sale,Awaiting User,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4367412,TFA Arusha,1/14/2026,Store.Reports.Point Of Sale,Awaiting User,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4367771,Palm Village,1/14/2026,Store.PeopleSoft,Resolved,Remote,Password reset.,,,,,,,,,,,,,,,,,,,,
4367922,TFA Arusha,1/14/2026,Store.Point Of Sale.Receipts,Awaiting Vendor,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4368377,Sarit,1/14/2026,Finance.Oracle Financials,Resolved,Remote,Iprocurement password reset,,,,,,,,,,,,,,,,,,,,
4369111,Palm Village,1/14/2026,Store.Point Of Sale.Server,Awaiting User,Remote,Tender checks/variances.,,,,,,,,,,,,,,,,,,,,
4369166,Palm Village,1/14/2026,Store.Point Of Sale.Printer,Awaiting Vendor,Remote,Unsent reports.,,,,,,,,,,,,,,,,,,,,
4370377,Kunduchi,1/15/2026,Network.Internet,Resolved,On-site,ISP link is down.,,,,,,,,,,,,,,,,,,,,
4370987,Rupa Mall,1/15/2026,HO.Notification of External Authority Interaction.Head Office Notification,Open,On-site,External visit to the store by authorities,,,,,,,,,,,,,,,,,,,,
4372239,Sarit,1/16/2026,Finance.Oracle Financials,Resolved,Remote,Peoplesoft password reset,,,,,,,,,,,,,,,,,,,,
4372589,Yaya Centre,1/16/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4373078,Palm Village,1/16/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4373133,Palm Village,1/16/2026,Desktop.Printer,Resolved,On-site,Unable to load reports on RetailSoft.,,,,,,,,,,,,,,,,,,,,
4374382,Kisumu,1/17/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4374397,Nyali MSA,1/17/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4374450,Rupa Mall,1/17/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4374616,PPF Tower,1/17/2026,Store.Point Of Sale.Printer,Resolved,On-site,Unsent reports.,,,,,,,,,,,,,,,,,,,,
4374617,TFA Arusha,1/17/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipts.,,,,,,,,,,,,,,,,,,,,
4375018,Mlimani City,1/17/2026,RetailSoft.User Access,Awaiting User,Remote,User logs request.,,,,,,,,,,,,,,,,,,,,
4375019,TFA Arusha,1/17/2026,Store.Point Of Sale.Server,Awaiting User,Remote,User creation.,,,,,,,,,,,,,,,,,,,,
4375042,Mlimani City,1/17/2026,Desktop.Software,Resolved,Remote,Outlook issues.,,,,,,,,,,,,,,,,,,,,
4375242,Garden City,1/17/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4375315,Palm Village,1/17/2026,Store.Back Office.EOD,Resolved,Remote,Data transfer error,,,,,,,,,,,,,,,,,,,,
4375694,Naalya,1/18/2026,Network.Internet,Resolved,On-site,Internet down across stores,,,,,,,,,,,,,,,,,,,,
4375961,The Hub,1/18/2026,Store.Point Of Sale.Software,Resolved,Remote, POS application on L03 was hanging,,,,,,,,,,,,,,,,,,,,
4375983,The Hub,1/18/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed receipt for transaction MWW/9584/260118/00000015 on L03, had a USB communication error",,,,,,,,,,,,,,,,,,,,
4375990,Naalya,1/18/2026,Store.Point Of Sale.Hardware,Awaiting Vendor,On-site,Cash/till drawer on till ww934till04 does not have keys,,,,,,,,,,,,,,,,,,,,
4376144,TFA Arusha,1/18/2026,Store.Point Of Sale.Pricing,Resolved,Remote,Pricing issues affecting refunds.,,,,,,,,,,,,,,,,,,,,
4376367,Mlimani City,1/18/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed receipt for transaction WLM/9571/260118/00000056 on L05, syntax error, user forgot PIN input",,,,,,,,,,,,,,,,,,,,
4377162,Sarit,1/19/2026,Desktop.Email,Resolved,Remote,Email Password reset,,,,,,,,,,,,,,,,,,,,
4377386,The Hub,1/19/2026,Store.Point Of Sale.Printer,Awaiting User,Remote,Printer malfunctioned due to drum issue,,,,,,,,,,,,,,,,,,,,
4377626,Kisumu,1/19/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4378412,PPF Tower,1/19/2026,Store.Point Of Sale.Pricing,Resolved,Remote,Unloaded promos.,,,,,,,,,,,,,,,,,,,,
4378682,Sarit,1/19/2026,Finance.Oracle Financials,Resolved,Remote,Password reset,,,,,,,,,,,,,,,,,,,,
4378753,Sarit,1/19/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4378843,Mlimani City,1/19/2026,Store.Reports.Back Office,Awaiting User,Remote,Variance/tender checks.,,,,,,,,,,,,,,,,,,,,
4386775,PPF Tower,1/19/2026,Store.Point Of Sale.Printer,Resolved,On-site,Serv Pass error,,,,,,,,,,,,,,,,,,,,
4379426,Palm Village,1/20/2026,Desktop.Password,Resolved,Remote,Mail password reset.,,,,,,,,,,,,,,,,,,,,
4379509,PPF Tower,1/20/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4379524,PPF Tower,1/20/2026,Store.Point Of Sale.Printer,Awaiting Vendor,On-site,Serv Pass error,,,,,,,,,,,,,,,,,,,,
4379606,Kunduchi,1/20/2026,Store.Point Of Sale.Server,Resolved,Remote,User creation.,,,,,,,,,,,,,,,,,,,,
4380177,Two Rivers,1/20/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed receipt for transaction MNJ/9581/260120/00000001 on L03, had a USB communication error",,,,,,,,,,,,,,,,,,,,
4380895,Garden City,1/20/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4381382,Yaya Centre,1/20/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4381413,PPF Tower,1/20/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipts.,,,,,,,,,,,,,,,,,,,,
4381507,Mlimani City,1/20/2026,Store.Point Of Sale.Receipts,Awaiting User,Remote,Unprinted receipts.,,,,,,,,,,,,,,,,,,,,
4382183,Naalya,1/21/2026,Store.Point Of Sale.Software,Resolved,On-site,Invalid port error was encountered at POS on UG4,,,,,,,,,,,,,,,,,,,,
4382879,PPF Tower,1/21/2026,Store.Point Of Sale.Printer,Resolved,On-site,Serv Pass error,,,,,,,,,,,,,,,,,,,,
4383261,Mlimani City,1/21/2026,Store.Point Of Sale.Printer,Resolved,On-site,Unsent reports.,,,,,,,,,,,,,,,,,,,,
4383452,Palm Village,1/21/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4383496,Mlimani City,1/21/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4383959,Naalya,1/21/2026,Desktop.Software,Resolved,On-site,WWOPSMGRUGA has been assisted with editing/formating an excel document,,,,,,,,,,,,,,,,,,,,
4384010,PPF Tower,1/21/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4384041,Mlimani City,1/21/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed receipt for transaction WLM/9571/260121/00000031 on L05, syntax error, user forgot PIN input",,,,,,,,,,,,,,,,,,,,
4384158,Kisumu,1/21/2026,Store.Back Office.EOD,Resolved,Remote,Eod issues,,,,,,,,,,,,,,,,,,,,
4384159,Nyali MSA,1/21/2026,Store.Back Office.EOD,Resolved,Remote,Eod issues,,,,,,,,,,,,,,,,,,,,
4384716,Naalya,1/22/2026,Desktop.Printer,Resolved,On-site,Reinstalled printer on ww934possvr to allow users print reports,,,,,,,,,,,,,,,,,,,,
4384797,Naalya,1/22/2026,Store.Point Of Sale.Server,Resolved,On-site,Backup log was not updated in the  backup folder,,,,,,,,,,,,,,,,,,,,
4385020,Kisumu,1/22/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Unprinted receipt.,,,,,,,,,,,,,,,,,,,,
4385786,Garden City,1/22/2026,Finance.Oracle Financials,Resolved,Remote,Password reset,,,,,,,,,,,,,,,,,,,,
4386130,TFA Arusha,1/22/2026,WW Store.Export Warehouse,Awaiting User,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4386172,Kunduchi,1/22/2026,WW Store.Export Warehouse,Awaiting User,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4386325,Acacia,1/22/2026,Store.Back Office.EOD,Resolved,Remote,Sales data transfer error,,,,,,,,,,,,,,,,,,,,
4387147,Mlimani City,1/23/2026,Store.Reports.Back Office,Awaiting User,Remote,Variance/tender checks.,,,,,,,,,,,,,,,,,,,,
4387262,Mlimani City,1/23/2026,Store.Point Of Sale.Hardware,Resolved,Remote,Till disconnected.,,,,,,,,,,,,,,,,,,,,
4387903,Bugolobi,1/23/2026,Desktop.Software,Resolved,Remote,RetailSoft was hanging as a user was bulk receiving stock,,,,,,,,,,,,,,,,,,,,
4388111,Yaya Centre,1/23/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4388451,The Hub,1/23/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4388490,TFA Arusha,1/23/2026,HO.Notification of External Authority Interaction.Head Office Notification,Open,Remote,OSHA inspections.,,,,,,,,,,,,,,,,,,,,
4388551,Nyali MSA,1/23/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4389071,Mlimani City,1/24/2026,Store.Point Of Sale.Receipts,Resolved,Remote,TILL 5 at mlimani we can not Print receipt due to error EFD BLOCKED TOO MANY UNSENT REPORT failure WLM/9571/260124/00000001,,,,,,,,,,,,,,,,,,,,
4389073,PPF Tower,1/24/2026,Store Operations.Loss of Trade.Power Failure,Open,On-site,Generator load test.,,,,,,,,,,,,,,,,,,,,
4389248,Rupa Mall,1/24/2026,WW Store.Export Warehouse,In Progress,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4389278,Sarit,1/24/2026,WW Store.Export Warehouse,In Progress,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4389383,Palm Village,1/24/2026,Store.Reports.Back Office,Awaiting User,Remote,Variance/tender checks.,,,,,,,,,,,,,,,,,,,,
4389429,Palm Village,1/24/2026,Store.Reports.Back Office,Resolved,Remote,Variance/tender checks.,,,,,,,,,,,,,,,,,,,,
4389496,Nyali MSA,1/24/2026,Store.Point Of Sale.Receipts,Resolved,Remote,Store has been assisted to print receipt for transaction NKU/9587/260124/00000005 on L04,,,,,,,,,,,,,,,,,,,,
4389503,Naalya,1/24/2026,Desktop.Password,Resolved,On-site,PeopleSoft password reset for user w7107944 - Dianah Nakiberu,,,,,,,,,,,,,,,,,,,,
4389916,Naalya,1/24/2026,Network.Internet,Resolved,On-site,Internet down at the stores,,,,,,,,,,,,,,,,,,,,
4390075,Kisumu,1/24/2026,Store.Back Office.EOD,Resolved,Remote,Data transfer error,,,,,,,,,,,,,,,,,,,,
4390653,Kunduchi,1/25/2026,Network.Internet,Open,Remote,Intranet access issues.,,,,,,,,,,,,,,,,,,,,
4390656,Mlimani City,1/25/2026,Store.Point Of Sale.Printer,Resolved,Remote,Till 4 printer written Serv.Pass?Z 54. Please assist us in resolving this issue so that we may use the till,,,,,,,,,,,,,,,,,,,,
4390745,Bugolobi,1/25/2026,Store.Point Of Sale.Hardware,Resolved,Remote,F1 key on the keyboard was not working when users were querying on PriceQuery application,,,,,,,,,,,,,,,,,,,,
